# Autogenerated from print_iod script.
IOD Microscopy Bulk Simple Annotations Storage

    CodingSchemeDesignator (0x00080102) ['SH'] ['M'] ['1C']
    CodingSchemeVersion (0x00080103) ['SH'] ['M'] ['1C']
    CodeMeaning (0x00080104) ['LO'] ['M'] ['1']
    LongCodeValue (0x00080119) ['UC'] ['M'] ['1C']
    URNCodeValue (0x00080120) ['UR'] ['M'] ['1C']
    EquivalentCodeSequence (0x00080121) ['SQ'] ['M'] ['3']
      CodeValue (0x00080100) ['SH'] ['M'] ['1C']
      CodingSchemeDesignator (0x00080102) ['SH'] ['M'] ['1C']
      CodingSchemeVersion (0x00080103) ['SH'] ['M'] ['1C']
      CodeMeaning (0x00080104) ['LO'] ['M'] ['1']
      LongCodeValue (0x00080119) ['UC'] ['M'] ['1C']
      URNCodeValue (0x00080120) ['UR'] ['M'] ['1C']
      ContextIdentifier (0x0008010F) ['CS'] ['M'] ['3']
      ContextUID (0x00080117) ['UI'] ['M'] ['3']
      MappingResource (0x00080105) ['CS'] ['M'] ['1C']
      MappingResourceUID (0x00080118) ['UI'] ['M'] ['3']
      MappingResourceName (0x00080122) ['LO'] ['M'] ['3']
      ContextGroupVersion (0x00080106) ['DT'] ['M'] ['1C']
      ContextGroupExtensionFlag (0x0008010B) ['CS'] ['M'] ['3']
      ContextGroupLocalVersion (0x00080107) ['DT'] ['M'] ['1C']
      ContextGroupExtensionCreatorUID (0x0008010D) ['UI'] ['M'] ['1C']
    ContextIdentifier (0x0008010F) ['CS'] ['M'] ['3']
    ContextUID (0x00080117) ['UI'] ['M'] ['3']
    MappingResource (0x00080105) ['CS'] ['M'] ['1C']
    MappingResourceUID (0x00080118) ['UI'] ['M'] ['3']
    MappingResourceName (0x00080122) ['LO'] ['M'] ['3']
    ContextGroupVersion (0x00080106) ['DT'] ['M'] ['1C']
    ContextGroupExtensionFlag (0x0008010B) ['CS'] ['M'] ['3']
    ContextGroupLocalVersion (0x00080107) ['DT'] ['M'] ['1C']
    ContextGroupExtensionCreatorUID (0x0008010D) ['UI'] ['M'] ['1C']
ResponsiblePerson (0x00102297) ['PN'] ['M'] ['2C']
ResponsiblePersonRole (0x00102298) ['CS'] ['M'] ['1C']
ResponsibleOrganization (0x00102299) ['LO'] ['M'] ['2C']
PatientIdentityRemoved (0x00120062) ['CS'] ['M'] ['3']
DeidentificationMethod (0x00120063) ['LO'] ['M'] ['1C']
DeidentificationMethodCodeSequence (0x00120064) ['SQ'] ['M'] ['1C']
  CodeValue (0x00080100) ['SH'] ['M'] ['1C']
  CodingSchemeDesignator (0x00080102) ['SH'] ['M'] ['1C']
  CodingSchemeVersion (0x00080103) ['SH'] ['M'] ['1C']
  CodeMeaning (0x00080104) ['LO'] ['M'] ['1']
  LongCodeValue (0x00080119) ['UC'] ['M'] ['1C']
  URNCodeValue (0x00080120) ['UR'] ['M'] ['1C']
  EquivalentCodeSequence (0x00080121) ['SQ'] ['M'] ['3']
    CodeValue (0x00080100) ['SH'] ['M'] ['1C']
    CodingSchemeDesignator (0x00080102) ['SH'] ['M'] ['1C']
    CodingSchemeVersion (0x00080103) ['SH'] ['M'] ['1C']
